Economy_Label,Q1 2006_Index_Average_Q1_2023__100_Value,Q2 2006_Index_Average_Q1_2023__100_Value,Q3 2006_Index_Average_Q1_2023__100_Value,Q4 2006_Index_Average_Q1_2023__100_Value,Q1 2007_Index_Average_Q1_2023__100_Value,Q2 2007_Index_Average_Q1_2023__100_Value,Q3 2007_Index_Average_Q1_2023__100_Value,Q4 2007_Index_Average_Q1_2023__100_Value,Q1 2008_Index_Average_Q1_2023__100_Value,Q2 2008_Index_Average_Q1_2023__100_Value,Q3 2008_Index_Average_Q1_2023__100_Value,Q4 2008_Index_Average_Q1_2023__100_Value,Q1 2009_Index_Average_Q1_2023__100_Value,Q2 2009_Index_Average_Q1_2023__100_Value,Q3 2009_Index_Average_Q1_2023__100_Value,Q4 2009_Index_Average_Q1_2023__100_Value,Q1 2010_Index_Average_Q1_2023__100_Value,Q2 2010_Index_Average_Q1_2023__100_Value,Q3 2010_Index_Average_Q1_2023__100_Value,Q4 2010_Index_Average_Q1_2023__100_Value,Q1 2011_Index_Average_Q1_2023__100_Value,Q2 2011_Index_Average_Q1_2023__100_Value,Q3 2011_Index_Average_Q1_2023__100_Value,Q4 2011_Index_Average_Q1_2023__100_Value,Q1 2012_Index_Average_Q1_2023__100_Value,Q2 2012_Index_Average_Q1_2023__100_Value,Q3 2012_Index_Average_Q1_2023__100_Value,Q4 2012_Index_Average_Q1_2023__100_Value,Q1 2013_Index_Average_Q1_2023__100_Value,Q2 2013_Index_Average_Q1_2023__100_Value,Q3 2013_Index_Average_Q1_2023__100_Value,Q4 2013_Index_Average_Q1_2023__100_Value,Q1 2014_Index_Average_Q1_2023__100_Value,Q2 2014_Index_Average_Q1_2023__100_Value,Q3 2014_Index_Average_Q1_2023__100_Value,Q4 2014_Index_Average_Q1_2023__100_Value,Q1 2015_Index_Average_Q1_2023__100_Value,Q2 2015_Index_Average_Q1_2023__100_Value,Q3 2015_Index_Average_Q1_2023__100_Value,Q4 2015_Index_Average_Q1_2023__100_Value,Q1 2016_Index_Average_Q1_2023__100_Value,Q2 2016_Index_Average_Q1_2023__100_Value,Q3 2016_Index_Average_Q1_2023__100_Value,Q4 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q2 2017_Index_Average_Q1_2023__100_Value,Q3 2017_Index_Average_Q1_2023__100_Value,Q4 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q2 2018_Index_Average_Q1_2023__100_Value,Q3 2018_Index_Average_Q1_2023__100_Value,Q4 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q2 2019_Index_Average_Q1_2023__100_Value,Q3 2019_Index_Average_Q1_2023__100_Value,Q4 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q2 2020_Index_Average_Q1_2023__100_Value,Q3 2020_Index_Average_Q1_2023__100_Value,Q4 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value,Q2 2021_Index_Average_Q1_2023__100_Value,Q3 2021_Index_Average_Q1_2023__100_Value,Q4 2021_Index_Average_Q1_2023__100_Value,Q1 2022_Index_Average_Q1_2023__100_Value,Q2 2022_Index_Average_Q1_2023__100_Value,Q3 2022_Index_Average_Q1_2023__100_Value,Q4 2022_Index_Average_Q1_2023__100_Value,Q1 2023_Index_Average_Q1_2023__100_Value,Q2 2023_Index_Average_Q1_2023__100_Value,Q3 2023_Index_Average_Q1_2023__100_Value,Q4 2023_Index_Average_Q1_2023__100_Value,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value,Q1 2025_Index_Average_Q1_2023__100_Value,Q2 2025_Index_Average_Q1_2023__100_Value,Q3 2025_Index_Average_Q1_2023__100_Value
Puerto Rico,71.31,73.88,66.31,73.05,74.96,69.92,72.97,73.66,69.17,65.4,62.6,61.08,60.43,62.12,63.06,62.92,63.58,64.3,63.91,55.63,55.42,51.55,51.06,49.84,45.55,45.52,48.75,51.21,51.37,46.63,49.17,48.71,50.06,50.72,50.44,44.78,40.02,33.48,36.19,36.49,42.51,47.03,47.77,45.4,44.72,44.72,49.96,46.78,39.9,39.91,43.35,43.16,48.51,50.87,51.81,53.42,46.17,46.3,45.82,49.69,49.19,49.2,49.2,47.88,45.7,45.7,45.7,44.52,48.99,51.36,51.35,51.38,52.58,44.7,44.59,44.55,44.54,46.67,49.62
Qatar,39.79,39.08,39.19,39.19,39.19,42.02,42.02,44.92,44.62,43.99,49.13,45,40.51,36.17,36.79,36.48,36.48,31.89,32.56,32.89,35.5,37.31,35.96,37.25,41.52,39.41,39.41,36.82,32.15,29.87,32.25,33.48,33.48,38.59,38.73,33.53,34.54,38.07,39.23,45.07,45.41,37.16,44.56,31.99,53.47,58.3,21.56,63.83,83.13,84.32,86.75,92.35,88.19,90.12,90.39,87.83,85.69,98.92,86.6,94.61,96.77,102.36,98.26,94.12,90.82,90.32,99.05,95.77,109.31,128.59,126.88,107.11,106.31,107.35,98.24,99.97,104.2,102.95,90.5
Republic of Korea,428.35,431.48,432.31,438.42,444.98,443.68,453.91,465.23,457.76,456.89,461.15,458.14,470.67,474.84,456.55,457.07,455.58,478.93,518,509.75,513.73,530.35,528.61,519.92,500.69,506.11,519.58,527.63,525.49,520.25,517.53,520.48,507.38,506.76,503.9,508.88,519.49,529.7,541.55,529.39,536.18,536.45,546.43,526.65,528.12,536.44,542.2,543.29,545.63,555.16,555.97,553.31,556.09,568.42,565.51,559.25,558.91,543.01,549.61,555.81,552.78,560.26,561.54,583.06,587.34,582.03,598.73,596.68,604.63,619.49,635.02,640.82,640.35,641.33,637.74,639.89,630.88,625.87,622.24
Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,,,,3.38,3.38,3.38,3.38,3.06,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.64,3.64,3.64,3.64,3.64,3.64,3.07,3.07,3.07,3.07,3.07,3.07,,,,,,,,,,,,,,,,,
Reunion,46.05,45.13,44.97,45.32,45.78,47.29,46.34,47.48,47.5,46.15,47.59,44.91,50.2,48.83,51.84,51.65,48.53,45.1,44.76,47.59,52.68,47.82,46.71,44.47,31.15,43.26,41.03,41.11,43.22,41.99,42.38,43.4,46.35,42.9,40.43,45.36,43.47,45.48,46.29,46.57,54.45,61.31,63.17,58.99,59.91,57.01,55.71,58.89,58.27,53.5,44.14,44.16,44.93,45.07,45.09,54.66,53.91,46.22,46.23,47.22,47.22,47.23,45.41,48.66,48.67,48.63,50.19,52.96,51.39,48.72,49.89,49.53,49.39,49.89,57.94,70.46,68.06,63.98,66.85
Romania,63.41,66.55,67.81,69.66,67.38,73.19,81.09,85.89,87.37,83.18,80.1,77.99,66.76,57.13,54.41,54.48,55.89,51.85,51.86,49.51,50.45,50.44,49.68,56.31,52.16,49.56,56.76,63.45,63.53,65.55,64.97,61.64,62.12,63.83,65.28,67.39,67.75,69.59,71.18,68.38,65.79,64.92,74.5,63.59,62.19,71.26,63.57,65.2,65.09,65.21,62.88,60.27,60.23,60.27,62.19,58.99,57.94,60.32,58.54,60.71,61.3,61.39,60.07,61.91,65.41,66.16,66.97,65.69,66.8,65.55,71.74,69.97,79.72,55.55,57,56.88,55.62,56.1,50.96
Russian Federation,125.43,131.12,129.71,133.46,137.77,135.91,139.3,148.46,151.51,151.12,148.28,160.53,160.69,156.89,139.45,142.49,148.57,153.71,162.79,161.04,161.73,161.92,174.74,178.72,185.54,218.45,225.02,232.81,231.34,225.09,229.6,235.5,235.83,241.24,234.24,232.95,228.74,223.54,217.11,233.92,229.87,210.22,203.71,206.06,210.37,208.04,202.85,209.32,207.4,201.1,197.43,200.36,199.66,191.6,187.73,192.09,181.33,164.34,160.89,171.09,179.27,174.38,179.7,178.85,179.96,121.32,112.76,124.49,123.92,145.37,159.49,163.65,164.71,164.14,159.9,163.42,164.06,175.3,173
Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,3.44,3.44,3.44,3.44,3.44,3.44
Saint Kitts and Nevis,12.89,12.21,12.21,12.21,12.21,19,21.83,19.47,19.48,19.48,19.48,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,18.11,17.43,17.43,17.43,17.43,17.43,17.43,17.43,17.43,17.43,14.54,20.15,20.15,20.15,20.15,20.15,20.15,20.75,20.75,20.75,20.15,21.51,23.16,23.16,23.12,23.23,23.23,26.06,26.05,26.05,23.22,23.22,26.05,25.38,25.38,25.45,24.77,21.94,21.94,21.94,17.62,17.62,17.62,17.62,15.59,15.59,15.59,15.59,15.6,15.6,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.28,9.45,11.79
Saint Lucia,22.67,22.67,22.67,22.67,26.61,31.51,31.51,28.43,28.43,29.1,29.15,30.45,30.45,26.17,26.67,26.26,26.14,26.18,26.18,25.8,21.31,21.35,21.55,24.45,24.79,32.5,32.49,32.49,32.73,33.81,36.23,36.23,33.85,33.69,33.69,31.19,29.83,30.98,30.69,30.58,31.43,27.86,23.78,23.82,27.52,27.52,24.15,25.31,26.69,27.49,29.01,24.53,23.17,26.11,26.11,21.11,21.13,23.43,21.09,21.09,21.1,21.1,21.1,22.07,23.44,23.44,23.44,23.44,25.87,26.01,26.07,26.07,28.86,26.91,27.14,27.27,27.28,27.28,27.28
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88,3.88,3.88,3.73,3.73,3.73,3.73,3.73,3.73
Saint Vincent and the Grenadines,24.93,24.93,24.93,24.93,30.18,29.17,26.96,26.41,28.61,28.61,28.62,28.62,28.62,21.4,21.4,21.4,21.36,21.36,21.36,17.12,20.68,20.68,20.68,24.24,24.24,32.63,32.63,32.63,33.05,31.71,35.88,35.88,33.65,33.48,33.48,30.6,22.73,22.73,22.73,31.86,33.73,35.15,30.16,32.09,32.15,32.15,26.52,26.52,26.54,25.19,24.51,24.51,23.83,27.44,25.17,25.17,25.19,27.49,25.14,25.14,25.15,25.15,25.16,19.1,20.47,20.47,20.47,20.48,22.9,22.24,19.79,19.79,20.71,20.16,20.16,20.16,20.16,20.16,20.16
Samoa,34.39,34.39,36.4,33.85,33.17,33.17,35.63,35.4,34.25,35.14,31.38,33.25,32.5,32.5,25.99,25.99,25.99,23.91,22.55,22.55,22.47,24.45,22.02,22.02,22.02,24.41,24.41,25.08,25.08,25.08,26.9,26.9,27.83,23.4,23.4,23.4,23.4,23.4,23.39,23.39,27.2,25.38,28.55,28.58,24.2,24.2,24.4,24.4,25.22,24.52,24.49,28.99,29,29,29,30.35,30.46,30.46,30.46,32.56,32.56,32.56,32.49,32.41,32.42,32.42,32.42,32.42,32.85,32.19,30.71,30.33,30.4,30.03,29.27,29.26,29.26,29.41,29.43
Sao Tome and Principe,12.43,12.43,12.61,11.83,7.6,7.6,8.1,8.1,7.02,10.31,10.31,10.31,11.54,11.54,6.23,6.23,14.15,16.12,15.92,14.79,14.56,18.48,18.48,17.76,17.76,17.76,17.69,16.87,17.54,18.22,17.55,17.53,19.37,17.6,12.37,12.35,16.74,16.33,13.33,13.27,15.46,14.77,14.76,14.76,14.76,14.76,14.76,13.38,12.04,12.73,15.47,15.47,15.49,15.49,15.49,18.14,12.77,12.77,12.77,12.77,12.77,11.6,11.56,11.58,11.58,11.58,11.57,11.58,11.58,11.58,12.33,12.34,12.48,12.48,12.49,12.5,13.74,13.5,13.5
Saudi Arabia,191.72,185.14,197.27,195.84,204.1,206.93,212.61,222.48,220.28,209.4,213.1,202.34,211.33,208.02,207.94,204.13,209.34,209.44,210.89,205.39,210.45,209.47,214.96,219.21,203.81,191.76,190.26,188.59,187.59,190.22,192.21,192.08,189.61,193.04,198.78,197.18,195.62,196.96,203.64,187.34,191.5,196.52,200.76,188.97,198.19,207.79,208.98,211.44,216.24,224.11,216.38,211.28,199.3,215.17,215.45,215.95,213.33,213.3,226.25,225.73,226.22,229.38,231.83,222.07,228.45,231.99,235.65,237.84,254.8,271.22,280.73,288.57,259.93,232.33,237.03,238.84,244.68,244.75,244.34
Senegal,58.78,63.71,62.11,63,63.66,64.86,65.25,63.39,61.63,70.59,65.54,62.87,64.33,62.76,63.63,61.49,64.43,56.63,57.1,54.82,57.13,55.49,57.41,57.34,55.91,51.89,50.32,49.38,46.05,50.77,51.28,51.85,51.33,52.6,55.61,53.85,56.6,55.2,55.06,61.15,57.32,56.77,57.11,56.68,56.7,58.67,57.24,61.82,63.77,59.65,62.71,52.83,50.27,50.25,49.36,50.42,51.65,52.39,58.65,57.95,53.5,52.05,56.04,56.21,55.42,55.03,59.3,55.18,55.48,59.16,65.26,56.47,54.02,57.34,63.86,57.69,60.63,66.45,69.27
Serbia and Montenegro,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,17.74,23.34,24.59,24.97,24.99,21.94,21.69,20.27,19.87,19.87,19.91,19.91,20.62,24.47,24.32,20.47,20.47,20.53,21.25,24,24,19.58,17.86,26.11,25.87,27.89,26.88,28.34,27.34,27.34,27.15,27.14,27.35,28.7,29.79,28.65,25.98,25.98,25.98,28.48,29.86,26.81,20.39,22.48,22.49,21.78,20.94,21.65,21.7,22.24,22.23,25.42,27.08,27.09,25.75,25.76,28.39,26.67,26.55,24.05,24.02,26.47,24.55,24.68,25.08,26.81,26.82,26.8,26.09,24.03,24.47,24.34,24.18,24.17,24.17,26.3,26.31,26.29,24.71
Sierra Leone,11.5,13.74,14.97,13.83,13.06,12.38,12.38,19.72,20.4,20.42,20.13,21.04,21.51,22.69,14.37,14.37,14.39,15.54,14.34,14.34,15.52,15.03,13.2,14.54,17.27,17.95,16.27,23.99,23.66,23.83,24.5,26.49,27.4,29.92,28.03,28.06,27.62,30.39,29.72,26.96,25.84,22.91,23.01,24.04,22.95,22.97,24.89,25.96,25.94,27.73,25.4,17.81,17.81,17.83,18.07,15.63,17.85,17.85,30.45,30.38,17.9,17.71,12.39,19.17,18.77,18.68,18.73,18.09,18.94,23.45,23.33,23.8,23.65,21.24,22.32,18.49,21.79,29.44,30.17
Singapore,538.75,528.97,527.4,543.1,541.24,548.4,553.57,564.31,576.04,575.85,584.7,570.35,552.63,541.1,551.52,551.31,549.05,561.44,583.13,578.83,576.33,585.7,578.85,583.27,556.9,556.66,566.9,561.77,549.78,557.29,574.46,567.27,554.95,544.59,538.66,546.38,547.95,544.45,549.48,559.17,556.69,549.63,558.17,531.91,537.84,557.06,568.79,581.74,597.43,600.84,594.13,592.01,576.27,575.59,572.73,558.45,566.78,559.35,570.04,588.19,581.3,582.51,577.66,563.99,569.26,560.74,572.71,581.68,585.83,591.46,600.7,600.07,592.38,588.14,588.1,580.4,595.42,614.57,620.35
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,31.5,33.69,33.23,37.11,37.13,37.13,37.12,37.12,37.13,35.39,36.85,36.75,37.41,37.41,37.41,34.91,34.92,36.73,36.73,37.56,38.66,44.48,44.48,44.48,44.32,43.86,44.88,46.19,46.2,40.45,40.47,40.47,39.11,42.64,41.58,40.9,39.89,39.7,37.8,37.8,40.24,40.24,40.25,32.12,32.04,32.05,32.04,32.05,32.11,31.58,31.91,31.91,31.94,32.21,32.66,32.44,32,32.56,33.68
Slovenia,49.51,46.64,47.11,52.25,54.42,53.17,53.91,55.38,58.51,58.61,56.34,56.73,49.72,51.49,51.67,51.78,52.78,52.8,60.77,57.95,60.07,59.83,60.38,59.52,53.32,61.29,61.65,60.7,60.04,59.82,60.61,60.11,58.21,61.2,61.91,64.87,72.01,70.41,71.76,75.14,77.39,72.03,69.72,75.11,75.05,78.69,75.41,71.61,71.74,68.22,67.73,68.44,66.16,70.28,72.63,75.38,74.23,74.17,69.68,67.41,67.45,67.46,69.33,69.44,70.76,74.58,75.28,75.11,72.65,74.84,73.25,75.59,78.28,76.8,76,75.96,75.95,75.57,77.16
Solomon Islands,21.04,25.72,21.48,21.48,21.48,21.48,21.48,22.74,22.75,22.75,26.97,28.95,28.95,27.86,24.36,24.37,22.55,17.38,20.33,20.34,20.37,26.84,26.43,29.65,29.65,30.35,31.36,31.36,31.66,32.43,34.95,36.77,37.63,38.53,38.53,36.08,36.07,36.64,34.14,34.1,36.08,34.27,30.62,30.62,32.55,35.78,35.78,33.6,33.61,34.26,34.39,34.43,34.43,34.43,34.44,30.85,30.85,30.85,28.44,30.5,30.5,30.5,30.5,28.44,28.44,28.41,28.41,28.41,31.7,30.66,31.37,31.37,30.68,30.59,30.59,30.58,30.61,30.61,30.28
Somalia,13.8,13.8,13.8,14.49,14.49,14.49,14.36,14.36,14.36,14.35,14.35,14.35,14.35,14.35,15.44,15.44,15.58,15.96,15.94,15.96,15.96,15.96,16.11,16.11,,,3.4,3.4,9.23,12.37,15.15,17.05,19.29,20.79,20.6,20.6,22.53,22.53,20.57,23.29,22.97,24.03,25.38,29.17,29.01,30.88,32.27,35.33,26.99,27.21,25.53,26.69,27.68,26.53,28.54,28.06,29.24,30.41,31.76,33.16,35.08,31.1,29.88,32.37,34.63,34.55,32.89,33.3,31.79,31.54,31.9,37.62,37.77,41.63,42.22,46.37,46.6,47.7,37.35
South Africa,126.73,128.46,130.46,136.18,142.53,140.17,149.14,143.67,146.65,144.99,150.15,147.39,143.97,141.67,147.01,149.86,147.74,153.42,156.74,156.55,162.15,156.38,147.87,144.52,138.42,131.87,136.85,129.93,137.36,142.54,147.25,144.5,137.89,145.08,144.87,144.25,142.71,139.64,131.55,130.56,134.74,126.5,126.69,122.92,123.3,125.33,121.93,126.37,118.21,119.26,120.48,115.52,116.76,114.5,113.34,115.88,114.99,114.18,117.28,113.35,114.84,114.36,112.37,108.14,112.74,110.76,112.36,103.31,100.12,113.82,116.53,112.01,111.13,108.11,106.46,100.57,103.24,106,114.97
Spain,373.57,390.86,403.02,398.12,400.4,393.91,395.37,388.36,385.8,394.94,388.83,383.3,377.32,372.7,364.92,365.25,373.05,386.08,386.11,379.83,381.01,366.55,382.12,382.74,370,354.89,361.14,365.57,350.74,355.61,362.86,356.09,357.63,372.31,370.68,359.16,366.11,367.69,379.98,395.98,389.86,394.15,401.36,387.51,380.24,378.9,377.13,384.19,383.85,381.65,370.32,367.6,367,366.82,368.54,363.79,370.63,369.05,365.49,377.01,381.89,395.89,387.07,385.83,378.28,375.73,388.08,394.33,399.25,404.95,418.16,411.84,406.99,423.55,427.51,425.22,428.14,424.99,421.13
Sri Lanka,159.57,170.99,170.26,177.46,179.66,189.51,187.92,180.55,183.81,188.49,192.25,186.75,174.75,159.41,163.93,164.5,163.14,168.03,171.63,175.13,179.81,182.48,178.68,175.35,170.11,177.03,173.59,173.23,176.93,172.71,175.96,181,177.65,182.62,178.88,180.87,181.03,186.28,191.07,195.83,197.34,212.41,220,221.64,220.44,209.87,208.7,217.05,222.7,216.69,215.06,216.02,213.76,215.77,212.02,212.15,223.42,224.32,239.36,244.78,244.99,245.01,242.18,232.35,240.78,235.1,234.87,237.74,237.27,244.81,243.05,241.55,253.51,251.64,251.49,264.32,266.81,261.23,263.13
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,26.75,28.37,28.47,28.21,30.53,30.6,33.21,35.42,35.65,33.26,37.05,36.15,36.79,37.52,36.59,40.05,43.45,37.79,38.75,31.32,34.05,45.97,45.16,39.4,26.72,24.73,26.07,23.3,22.96,22.75,23.2,22.99,24.75,24.75,24.94,27.4,22.67,19.23,21.02,21.86,17.14,19.94,19.45,22.12,26.62,26.76,26.5,24.9,26.32,28.36,26.55,30.65,25.8,26.46,29.13
Sudan (...2011),37.18,27.03,34.52,34.88,31.05,27.78,36.95,36.81,29.43,31.23,31.52,30.02,37,38.75,42.73,39.72,39.8,38.02,39.76,32.76,33.3,34.68,32.88,31.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,33.37,35.6,38.22,39.1,32.5,33.21,33.24,30.29,36.57,36.49,34.72,34.73,34.73,36.08,36.08,36.08,42.75,42.08,39.84,36.86,38.69,37.3,31.47,31.6,31.6,33.08,33.82,37.08,38.76,38.74,40.28,40.28,38.05,39.83,39.84,42.6,41.94,41.93,42.73,41.93,39.92,41.53,39.26,40.21,35.52,39.14,40.8,39.65,34.9,34.88,36.11,36.11,36.11,36.11,34.95,39.42,39.35,40.57,40.33,38.97,38.98,38.97,38.98,40.54,36.91,38.61,39.97,40,40.02,40.03,40.65,42.48,43.27,40.49,40.54,40.83,43.6,44.82,44.82
Sweden,113.12,112.74,120.65,117.79,118.09,115.02,113.2,110.93,102.27,105.26,111.1,115.62,114.01,116.84,117.04,117.69,116.82,117.8,117.67,120.88,126.28,123.75,120.35,121.97,119.26,129.5,122.84,125.27,117.85,117.15,121.04,122.78,121.88,120.16,118.7,120.68,108.9,103.84,117.5,122.49,121.71,119.44,117.51,119.99,154.98,147.1,146.57,128.94,126.07,120.95,121.66,116.68,118.84,117.65,117.76,116.4,112.99,104.46,110.51,109.81,107.96,107.7,108.95,109.22,109.07,116.92,119.66,111.23,112.5,112.29,111.99,113.44,116.36,120.86,118.7,118.85,116.52,112.83,116.11
Syrian Arab Republic,50.19,51.03,50.06,49.14,45.37,44.76,54.61,54.56,65.68,59.02,58.37,51.68,48.65,45.29,59,54.62,50.99,47.4,46.41,55.98,56.7,55.43,55.16,56.17,54.45,54.05,53.68,46.57,47.39,48.44,46.32,41.04,39.81,39.8,40.23,37.45,41.31,41.67,35.48,36.42,32.26,30.09,32.89,33.38,37.17,24.11,29.86,33.37,34.75,30.03,29.9,33.48,31.75,31.29,32.42,32.39,30.88,30.88,30,30,29.91,26.62,27.16,24.96,25.94,25.94,25.94,25.67,25.9,25.98,25.99,25.44,23.09,25.31,27.17,27.64,28.97,26.37,22.33
Thailand,195.56,195.71,200.14,201.9,194.99,202.12,196.51,207.23,198.65,189.91,188.83,180.23,180.82,177.33,185.78,188.4,191.33,201.6,200.15,207.58,202.45,201.95,198.55,201.51,197.42,187.48,191.9,202.37,200.75,195.15,206.97,209.61,199.09,199.38,193.79,191,198.91,208.23,210.99,213.16,214.41,218.42,218.08,211.64,207.39,206.2,209.63,217.38,217.6,214.57,218.37,219.32,225.36,221.05,222.27,218.16,218,223.6,230.36,231.3,229.87,238.63,242.22,245.11,241.28,244.91,258.05,264.05,262.66,264.54,267.17,264.67,257.99,265.08,264.58,266.91,273.41,268.14,276.28
Timor-Leste,8.96,6.86,3.34,3.34,3.34,3.34,3.34,3.07,3.07,3.07,3.07,7.03,7.03,7.03,7.03,7.03,7.03,7.03,6.86,7.79,7.79,7.79,7.79,7.79,7.79,14.96,16.8,16.8,16.94,16.96,16.98,18.62,18.62,18.64,18.71,18.68,16.4,16.39,11.38,11.37,11.37,11.67,11.67,11.67,11.68,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,12.22,12.22,12.22,10.42,11.54,11.54,8.63,8.63,11.97,13.28,11.92,11.92,12,11.99,11.99,11.99,12.22,12.22,12.22
Togo,52.44,51.39,55.31,53.68,50.34,50.19,51.4,47.67,50.33,49.27,52.81,52.23,52.8,58.47,66.22,64.75,60.92,64.31,66.95,56.07,63.24,60.29,55.33,51.72,47.11,50.83,47.58,52.25,53.43,55.58,61.97,59.67,58.21,65.25,68.55,72.03,83.97,81.04,85.57,74.65,83.46,70.28,79.27,79.57,76.53,74.56,76.97,83.93,84.87,84.65,88.14,86.09,83.03,80.97,82.58,81.85,82.99,84.38,83.94,84.6,90.34,88.95,89.98,90.35,91.34,94.95,92.19,91.09,91.61,93.2,95.74,95.35,94.78,93,93.71,94.29,116.07,119.34,119.3
Tonga,25.37,25.07,25.06,22.1,22.1,22.1,18.98,17.65,17.65,18.98,18.98,21.22,21.22,21.22,21.22,21.22,21.22,19.87,19.3,19.3,19.3,20.55,19.62,19.62,19.62,22.01,22.01,22.68,24.45,24.45,26.94,26.94,28.49,24.06,24.06,19.78,19.78,19.78,19.61,19.61,23.89,27.15,28.55,28.58,28.66,28.66,28.05,28.05,28.31,29.1,25.72,25.89,25.89,25.89,25.89,21.02,22.28,22.28,22.28,29.21,29.21,29.21,29.13,28.63,27.16,27.16,27.16,27.16,28.21,28.75,29.02,29.02,29.33,29.19,27.99,27.98,27.98,28.13,28.14
Trinidad and Tobago,79.61,80.55,80.25,82.7,80.48,78.49,75.75,81.91,82.82,81.63,74.6,73.54,82.13,94.62,92.51,86.63,86.5,86.67,86.2,86.6,88.66,89.2,81.32,82.9,83.95,79.6,77,76.15,74.39,74.44,78.04,79.24,78.79,78.33,79.5,76.17,74.38,77.35,71.48,73.85,77.97,78.6,64.65,59.92,59.88,59.88,58.65,64.38,62.47,63.29,62.69,62.72,61.91,63.25,63.44,65.06,62.02,63.28,60.96,62.96,62.25,62.07,62.07,60.38,58.07,58.06,58.74,58.77,59.87,59.57,59.55,60.27,60.7,58.83,60.13,59.95,60.72,61.95,61.44
Tunisia,50.12,46.27,47.72,52.11,51.22,52.29,45.79,51.95,51.95,47.05,47.35,51.46,52.16,51.83,51.4,50.54,51.4,52.31,56.41,55.11,54.65,55.92,55.71,54.68,53.07,43.28,45.35,46.27,42.45,44.43,44.78,47.11,46.46,46.79,48.35,40.62,42.25,45.95,44.47,45.37,50.75,41.51,41.3,41.76,41.3,43.73,44.27,42.67,41.1,42.73,42.8,40.39,37.28,38.02,35.89,38.01,34.29,34.17,30.28,29.86,27.73,29.19,26.11,27.5,25.3,26.34,27.44,27.45,25.31,26.01,28.54,28.7,30.72,31.46,26.65,27.62,27.72,29.38,29.66
Turkiye,163.39,162.12,172.27,174.52,167.55,171.21,177.78,182.47,195.04,194.95,191.95,187.23,179.73,159.11,170.84,169.29,168.59,167.45,175.38,180.53,186.74,187.68,192.87,187.39,194.88,200.84,209.43,219.59,217.06,219.95,217.6,216.01,220.27,217.91,219.91,226.06,226.47,220.14,220.4,217.03,216.95,218,220.75,225.74,227.97,227.15,230.56,238.45,242.1,236.03,235.36,231.43,229.03,229.76,228.43,232.19,225.81,230.07,227.97,225.97,231.22,230.75,229.37,234.63,246.25,246.85,250.69,263.91,267.41,271.85,285.55,283.8,284.7,284.15,273.83,279.32,297.16,315.83,317.03
Turks and Caicos Islands,6.25,6.25,6.25,6.25,6.25,6.25,6.25,4.1,4.1,4.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13
Tuvalu,,,,,,,,,,6.42,6.42,7.01,7.01,4.29,4.52,4.52,4.52,4.52,6.76,6.76,6.76,6.76,6.76,,,,,10.75,10.75,10.75,10.75,9.84,10.2,8.18,8.18,8.18,8.18,8.18,8.18,8.79,8.79,8.79,8.79,8.79,5.49,5.49,5.49,5.55,5.55,5.55,5.55,5.05,5.05,5.05,5.05,5.05,5.05,5.05,4.87,4.37,4.37,4.37,4.37,4.37,4.14,4.14,4.14,4.14,4.14,4.8,5.05,5.05,5.17,4.72,4.72,4.2,4.2,4.2,4.2
